评论,时间,点赞数
我喝过你喝过的西北风，那么我们算不算一样穷[思考],2021-02-05 12:50:32,65207
此时一个自信的少年打开了全民K歌[doge],2021-01-27 11:40:57,55711
听到这句歌词“我吹过你吹过的晚风，那我们算不算相拥”时，突然记起了这句话“两处相思同淋雪，此生也算共白头”,2021-01-29 22:25:06,37575
女朋友推荐来的她说“我吹过你吹过的晚风，那我们算不算相拥”这句歌词让她爱上了这首歌虽然现在我们相隔大半个中国，而且她是一名医生，蛮让我担心的，希望你可以好好的回到我身边吧，未来可期,2021-02-01 04:43:55,28708
“我和我的他，差了一个次元。”,2021-02-01 18:46:32,20587
我一个高一复读的高三生听到“自不量力的复读生完不成金榜题名的使命”的时候就已经哭的稀里哗啦了[大哭],2021-01-23 13:15:27,15033
我和我的纸片人男友们.jpg[酸了],2021-02-08 15:11:19,12894
我喝过你喝过的西北风~那我们算不算相拥[doge],2021-01-22 18:45:55,9249
艾辰25岁 当红中国内地歌手全民K歌第一个粉丝过千万的人歌曲酷狗播放量近2亿原创歌曲:《错位时空》《落》《愿》《离》《羡》《念》《东坡》《谁与归》《一抹柔情》《最高地位》《来不及说再见》《桃花凉》《初雪的谎言》《恋爱啦》《小橙子之歌》 《君不见》《归还》《移植》《甜蜜征兆》《心疼你的坦诚》《荒野》《想你》《花还在开》…,2021-01-22 20:42:07,22538
转发艾辰原创歌曲《错位时空》没有抄袭。歌词“我吹过你吹过的晚风，那我们算不算相拥”早在14年就是网络红句，而博主“德卡先生的信箱”于2015年收录的比句。艾辰工作室和尔盟已在微博发表声明，请理性看待。,2021-02-07 22:37:12,9638
艾辰--错位时空词  周仁  曲  张博文 编曲  陈林  分轨混音  Mr.鱼  制作人  艾辰  填不满半排观众的电影直到散场时突然亮起灯字幕定格在某某出品和发行我目送 他们行色匆匆像个自不量力的复读生完不成金榜题名的使命命不是猜剪刀石头布的决定那么任性我吹过你吹过的晚风那我们算不算 相拥可如梦初醒般的两手空空心也空我吹过你吹过的晚风是否看过同样 风景像扰乱时差留在错位时空终是空 是空数不完见证许愿的繁星没灵验谁来安慰坏心情十字路口闪烁不停的信号灯有个人 显然心事重重三个字 只能说给自己听仰着头不要让眼泪失控哪里有可以峰回路转的宿命我不想听我吹过你吹过的晚风那我们算不算 相拥可如梦初醒般的两手空空心也空我吹过你吹过的晚风是否看过同样 风景像扰乱时差留在错位时空终是空 是空我吹过你吹过的晚风空气里弥漫着 心痛可我们 最后 在这错位时空终成空我吹过你吹过的晚风空气里弥漫着 心痛可我们 最后 在这错位时空终成空 成空,2021-01-22 18:35:03,6492
这是她和我一起听的最后一首歌，那天过后她因为病情走了。而我什么都没有，只有她东西，照片，而我又不能跟她一起去。这半个月，自己躲家里，也不想见人。哭的哭不出来。我的丫头就这样没了。,2021-02-10 09:36:30,5644
填不满二分之一的尾款只到绝版时依然付不起只能下次复刻还是没钱买我目送他们钱包空空像个自不量力的初中生直到初三时还什么不会一看到试卷就像打了麻醉剂我还想睡我喝过你喝过的西北风那我们算不算相拥可如梦初醒般的试卷空空分也空我付过你付过尾款那我们算不算双子想扰乱时差留在王者峡谷终下课下课[doge],2021-01-23 20:00:34,5945
大家都说听这首歌心里想的喜欢的人，为什么我脑子里只有嗑的CP，这就是我万年单身狗的究极原因嘛,2021-02-14 18:56:05,3970
今日表白失败了，点个赞安慰一下吧。[哭泣],2021-02-15 01:10:26,5001
……瓶邪黑花人死在这里了,2021-01-28 13:45:58,4978
素材～《等雨》《约束》《避难所》《落下生》《悠久之翼》《十字路口》《你的名字》《天气之子》《海兽之子》《境界的彼方》《直到梦醒时分》《海边的异邦人》《Jose的虎与鱼们》《CHRONICLE》（还有几个是日语的番我不会打出来[笑哭][笑哭]）,2021-01-22 19:07:38,1718
和老婆，王者荣耀相识，从不同的晚风，到同淋一场雨。今天是我结婚的第五个月。,2021-02-03 21:51:32,2619
讲道理，唱的不错，旋律不错，就是有些地方的词感觉差点意思,2021-01-24 19:32:24,3228
刚才看到弹幕有个“我吹着来自西伯利亚的寒流”，然而寒暖流是指的洋流的性质，是海上的，西伯利亚高压是陆地上的哦(来自耿直的小理生),2021-02-10 20:12:12,1393
我喝过你喝过的西北风，那么我们算不算一样穷[思考],2021-02-05 12:50:32,65207
此时一个自信的少年打开了全民K歌[doge],2021-01-27 11:40:57,55711
听到这句歌词“我吹过你吹过的晚风，那我们算不算相拥”时，突然记起了这句话“两处相思同淋雪，此生也算共白头”,2021-01-29 22:25:06,37575
女朋友推荐来的她说“我吹过你吹过的晚风，那我们算不算相拥”这句歌词让她爱上了这首歌虽然现在我们相隔大半个中国，而且她是一名医生，蛮让我担心的，希望你可以好好的回到我身边吧，未来可期,2021-02-01 04:43:55,28708
“我和我的他，差了一个次元。”,2021-02-01 18:46:32,20587
我一个高一复读的高三生听到“自不量力的复读生完不成金榜题名的使命”的时候就已经哭的稀里哗啦了[大哭],2021-01-23 13:15:27,15033
