time,order,start,commit
2021-11-19 19:00,【热卖套装】大红瓶护肤15件套,comment-star star5,产品包装：很好很喜欢，很漂亮，高大上。吸收效果：特意用了一段时间，很好吸收，用过第二天脸上很滋润。保湿程度：保湿效果很好，每次季节交替脸上很干，用了这个产品脸部皮肤不干了。适合肤质：我用了很好
2021-08-28 13:01,【水霜套装】大红瓶+大红水套装,comment-star star5,首先为京东快递点赞?，当日下单当日到，这才是真快递。虽宝贝不多，但包裹很大很结实，还温馨提醒轻拿轻放。打开包裹，里面很体贴的放了防震空气袋。Olay礼盒简洁大气，塑封包装。开封盒子，一水一霜两面膜跃然眼前，将简约大气继续到底。一直选择大红瓶，清新优雅的香味，一如既往的喜欢。
2021-09-04 14:12,【滋润面霜】大红瓶面霜80g,comment-star star5,宝贝收到，看着就非常好用，拆开后迫不及待的试用了一下，用后一点不紧绷，而且保湿效果也好，套装特别好用，补水效果也非常好，不油腻，吸收特别好，秋冬季节用绝对完美，价格合适，算下来比实体店便宜的多，质量一样，是正品。非常满意的一次购物。
2021-02-01 13:27,眼霜15ml,comment-star star5,适合人群：玉兰油（oLAY）大红瓶眼霜，适合油性皮肤，干性皮肤和中性皮肤，都可以使用。使用方式：第一步，取适量的眼霜均匀涂抹在眼周，第二步，用无名指在眼周环状按摩，第三部，将双手搓热，轻敷眼周，促进吸收。淡纹能力：淡化细纹，紧致眼周，滋润肌肤。抗皱能力：抗皱能力：提拉紧致，水润弹嫩， 抗皱效果还不错哦。吸收程度：易吸收，滋润不油腻。其他特色：一直都使用玉兰油化妆品系列产品，都是很不错的化妆品，滋润，不油腻，易吸收，抗皱效果很好。这次搞活动购买，是囤货。
2021-09-11 17:38,【滋润面霜】大红瓶面霜50g,comment-star star5,用这款玉兰油大红瓶差不多有十年了，从未间断过。因为本人是混合性肌肤，又比较敏感，之前用过好多种玉霜，都不是很满意，直到遇到这款玉兰油大红瓶。首先，它配方温和，无刺激，不黏腻，涂在脸上特别舒服。味道也淡淡的清香，很好闻。它也很滋润，很好吸收，保湿效果也特别理想。再配合大红水和肌底液一起使用，营养能真正补充到肌底。如此十年用下来，我不敢说整体多年轻，但单就肌肤来说，应该在同龄人中算上乘的。
2020-02-29 20:12,新生塑颜空气感凝霜,comment-star star5,保湿效果：保湿效果不错，水灵灵的吸收程度：吸收效果很快，感觉很好控油效果：控油效果不错，不油不腻，很满意产品质地：不稀也不太浓稠，感觉刚刚好适合肤质：适合油皮，涂后一整天都不会泛油光，正得我心其他效果：柔雾哑光感，所含成分温和不刺激，敏感混油皮肤也能使用，日期新鲜，既能补水保湿，又能促进自我胶原蛋白生长，淡化细纹，紧致肌肤，修正肤色，改善暗沉，修正肤色不均的问题，击退憔悴脸和熬夜脸，早晚洁面后涂抹至面部并配合双手按摩使用，坚持每天使用，2-3个月便能感觉得出效果来，真金不怕火炼，价格优惠，效果真是杠杠滴！???
2021-10-26 14:43,【现货即达】大红瓶15件套,comment-star star5,秋天到了，洗护用品对女士来说相当重要，这款玉兰油（OLAY）大红瓶护肤品套装非常适合这季节使用，洗护一体，大品牌质量比较放心。套装产品种类也比较全（面霜+眼霜+洗面奶+爽肤水），产品价格也实惠，值得购买。产品包装：精致完美吸收效果：易吸收保湿程度：保湿效果明显适合肤质：大宗肤质，不挑
2021-11-27 09:11,【重磅新品】超红瓶面霜50g,comment-star star5,我是玉兰油的铁粉，这次买了这款新的面霜，包装精美，它比大红瓶面霜膏体要稀一些，不像大红瓶那么粘稠，气味更清淡一些，但是，涂抹感觉很滋润细滑，敏感肌肤也可以放心使用，干性和混油皮使用都很滋润，深层锁水，淡化细纹，京东上购买，品质放心，物流也很快，好评。
2019-07-17 08:10,大红瓶+活能水,comment-star star5,最近被olay的空气霜圈粉，正好水没了，又在olay家下单一套。套餐内三个的成分都不错，主打烟酰胺。使用感受:水的质地不是特别浓稠那种，夏天用不会有负担。套餐内的霜油皮夏天用略有负担，感觉油皮还是夏天用空气霜冬天再用这个。送的两个小样，跟套餐里的霜比起来质地更细，味道比较清香，用起来更轻薄。总得来说，所有产品都很不错，用完会回购！
2021-11-03 19:17,【囤货首选】大红瓶面霜80g,comment-star star5,整体评价很好用，保湿效果很好不油腻！是我想要的效果！保湿控油效果不油腻，吸收好！质地手感不油腻，保湿好！我的肤质缺水，偏干吸收效果吸收效果很好，不油腻！用来涂脸不油腻，保湿效果不错，用起来挺滋润的，涂脸白白嫩嫩，涂手非常滋润，尤其干燥的季节，特别保湿，一直用的牌子很给力，起皮的脸也不起皮了，值得信赖强
