time,order,start,commit
2021-07-31 21:00,【爆款套装】保湿化妆水+乳液,comment-star star5,1.这款爽肤水我收到货了，物流很快，拆开闻了一下。味道好闻不刺鼻瓶盖，不油腻还挺香的，可以喷全身，也不刺激皮肤爱了，吸收效果也很不错有滋润感，晶莹剔透，仙女们可以直接下手。2.超级棒的一款爽肤水儿，性价比极高，包装完美一点儿也没有渗漏，物流也很快，用了以后保湿，容易吸收，清爽的，不是那种油腻腻的，用了不过敏 还有一点维稳的效果，能去红血丝，总的来说这款产品很不错。3.天天用这个我觉得不粘腻，就比较清爽吧，然后这个季节补水又到了， 较清爽 ，拍一拍，很快就被吸收了，涂在脸上，凉爽镇静，特别舒服质量好，每天晚上做完面膜涂，轻微按摩就吸收了我是觉得挺好的 真的非常实惠。感觉皮肤光滑了，擦上以后皮肤更透亮了，我平常熬夜，一般晚上护肤会认真些。4.爽肤水非常非常好，上脸清爽不黏腻，伴随淡淡清香很好闻，感觉不错挺滋润的，个人觉得挺温和的，没有出现什么不良反应，补水效果真的相当不错，有提拉的感觉，皮肤都好很多了，脸上的斑点淡了些，轻轻一拍就吸收了，没有副作用，对这次购物很满意！非常好！5.爽肤水巨补水，现在皮肤都不会起皮了，洗完脸配合日常水乳一起用，用完脸很滋润水润，上妆巨服帖，再也不
2021-11-16 22:24,【人气爆款】保湿洁颜泡沫150ml,comment-star star5,最喜欢的一款氨基酸平价洗面奶，价格不高一大瓶超级耐用，洗完脸不紧绷，泵头的设计用起来很方便，成分特别温和，不添加任何酒精和添加剂的洗面奶。颜值非常的高，白白的瓶子一瓶一个月都用不完，主要是我感觉皂基的有点不适合我，氨基酸的温和洗完不紧绷也不拔干，试了很多洗面奶，唯一一款无限回购的洗面奶。让宝宝远离肌肤小情绪
2021-07-29 09:26,【人气爆款】保湿柔和乳液120ml,comment-star star5,第一次买这个牌子的产品，用起来感觉还是不错的。保湿效果：一整天都不干吸收程度：容易吸收控油效果：一点都不油，擦拭按摩后很容易吸收了产品质地：日本产吧？不太清楚。以后还会回购的。
2020-06-19 20:04,滋养面霜（明星产品）,comment-star star5,本人是珂润的忠实粉丝，一直在京东自营购买，以前脸部过敏，角质层比较薄，一直去医院看了多次，不见好，用过针对过敏肌肤的雅漾，皮肤也没见好转，经过后来调理，皮肤逐渐健康起来，用过珂润之后皮肤没有不适反应，保湿效果很棒，适合干皮，用完还会继续购买。
2021-09-15 23:52,【补充装】保湿洁颜泡沫130ml,comment-star star5,十分好用的一款洗面奶，没有刺激性，不会很敏感，我的皮肤属于混干，也会有点小豆豆，但是用完这款十分舒服，后续还会再买这款的，感谢商家发了这么好的东西，谢谢(*^o^*)
2020-01-26 11:24,化妆水2号,comment-star star5,产品质感：很不错。很舒服。不会有异味。适合肤质：我的是油皮肤质的。用着很不错。不会很油的样子。挺舒服的产品香味：老老实实的药妆味道。不会有什么感觉。使用效果：很好。保湿效果非常不错的。补水效果：很好。 一直使用的牌子。冬天也不会很干燥。其他特色：一如既往的喜欢。一只购买这个牌子
2021-08-17 21:58,【人气爆款】保湿洁颜泡沫150ml,comment-star star5,养成灯泡肌的的方法来了，什么皮肤干燥，闭口粉刺通通都没有了?？？相信大家都知道珂润洗面奶好用，因为喜欢的女神用过嘛现在正值当夏皮肤干燥确实该用“它了”！于是我打开了京东买了“它”珂润润浸保湿洁颜洗面奶嘿嘿嘿 该说不说珂润化妆品的包装我爱了??干燥敏感肌适用 清洁同时锁住水分，洗后水润不紧绷 温和不刺激?????因为它是 纯氨基酸洗面奶洗脸同时保持神经酰胺不流失专为神经酰胺不足导致肌肤的干燥泛红，敏感而研制 洗完脸皮肤很清爽湿润，效果杠杠滴♥ ??????珂润洗面奶是专为因干燥泛红皮肤所研制的泡沫丰富绵密，所以使用起来非常的温和 温和的同时 还深入皮肤深处清理油脂粉刺并且可以保持湿润嘿嘿?对于我这种皮肤经常干燥，且泛红的皮肤来说非常?意 用了一个多月了吧，现在皮肤明显比以前好多了 感觉洗完皮肤还是很湿润??现在呢不用水乳都感觉皮肤都有很多水分，皮肤状态很不错，爱了爱了???
2019-08-28 21:41,滋养面霜（明星产品）,comment-star star5,这款面霜我已经用光五六瓶了。简直是干燥敏感肌的福音。我是属于那种角质层特别薄的，脸上还有红血丝。这款面霜质地特别清爽，完全不厚重，很容易推开，擦在脸上完全没有负担，保湿力度也很好，总之我一年四季都在用。适合自己的就是最好的。
2020-01-22 11:17,洁面泡沫（热卖产品）,comment-star star5,很好。还是喜欢用泡沫洗面奶。很柔和比磨砂的会好很多。比一般的洗面奶省事情多了。清洗干净卫生。又不干燥，只要轻轻一按就可以了，一只购买这个牌子。非常的好。其他的洁面产品都是这个牌子。京东商城网购商品质量保证。非常的好。
2021-11-07 22:47,【人气爆款】保湿洁颜泡沫150ml,comment-star star5,无限回购的一款洗面奶，对干皮敏感肌很友好，泡沫面膜细腻，用起来很舒服，不会出现假滑的现象，官方旗舰店买的，用着很放心，活动的时候买，很划算
