time,order,start,commit
2021-10-09 22:21,爽肤水250ml+面霜50ml,comment-star star5,试用装都可以用好久了，用了一个星期了，没有过敏症状，保湿效果很好，没有香味，证明没放香精，其他的还敬请期待用用看吧！
2021-11-01 14:35,金盏花水+高保湿霜,comment-star star5,通过朋友种草了科颜氏，趁着双十一预售稳稳拿下！除了正装的水和高保湿，其他都是赠品！感觉太超值了！送的化妆包质量不错，体积不大聚能装！本人是混油肤质，据说金盏花这款控油不错，试过之后再来评论！高保湿一直是明星产品，闭眼入的面霜！
2021-11-02 10:22,高保湿3件套 爽肤水+洁面+面霜,comment-star star5,补水锁水保湿防晒，总之基础护肤我就只用科颜氏，吸收效果好长效保湿，对干皮十分友好，用了十几年了，看起来比同龄**肤状态年轻的，真心觉得好，早就是我的好朋友啦，不离不弃，请一直保护我到老吧。啦啦啦啦啦啦啦啦
2021-09-18 15:17,爽肤水250ml+面霜50ml,comment-star star5,一直在用科颜氏的保湿霜和爽肤水，保湿霜对于我这个敏感肌来说真是yyds！用上很舒服，保湿效果也还不错。爽肤水只用过一瓶，也还可以，但是比不过保湿霜的感觉。之前都是在机场买的，现在疫情没法出国，这是第一次在京东上买，希望和在免税店买的一样好用！
2021-10-09 11:37,高保湿面霜50ml,comment-star star5,保湿效果：保湿效果特别得好，而且用了不卡粉。吸收程度：吸收的很快让皮肤QQ弹控油效果：控油效果那更是没得说的一点都不油腻产品质地：这一款适合所有皮肤，他一年四季都可以使用。
2021-11-04 11:11,高保湿霜50ml限量款,comment-star star5,这款绝对是明星保湿霜，已经用过好几罐了。特别适合北方干燥的秋冬。白色乳霜状，滋润不油腻，很容易涂抹开，容易吸收，而且保湿时间长。这个牌子的东西用了很多年了，没有任何过敏的情况，非常放心。虽然价格小贵，但是非常耐用，一盒50毫升的足够使用一个冬天。这次活动送了四个小罐保湿霜，还有一个洁面的小样，非常实惠，买来对付这个冬天。
2021-11-04 13:34,高保湿面霜50ml,comment-star star5,之前看了很多的保湿产品，一直都不是很理想，涂抹一会脸上就又出现了干皮。买了这个效果很棒。很感谢好朋友的媳妇推荐用这个，效果真心不错。保湿效果：保湿效果很棒，而且抹上后没有任何的异味。吸收程度：吸收程度应该是涂抹均匀。控油效果：抹了以后脸上还是会出油的不过相比之前皮肤干干的好多了，而且冬天出油也是身体自身的保护皮肤，防止干裂。产品质地：进口的产品，贴着中文。效果确实不错，用了2我又发现干皮，等症状了。
2021-11-14 16:58,高保湿洁面啫喱150ml,comment-star star5,之前用了这个洗面奶，就感觉特别好，又保湿，呦控痘，反正是特别喜欢，我是痘痘肌，所以用过很多洗面奶，这个真不错，下次还会再来买的。
2021-08-15 19:14,高保湿面霜125ml,comment-star star5,多次购买科颜氏的保湿霜了，保湿效果很好，而且特别适合敏感皮肤。吸收程度：吸收的很好。控油效果：不油腻。产品质地：产品质地很细腻，光滑。适合肤质：我一般秋季冬季春季都会用这款产品。感觉干性皮肤敏感性皮肤都非常适合。
2021-11-18 13:25,高保湿霜50ml限量款,comment-star star5,原来可以买那么大一罐，现在，那么小一罐了。啥都涨价了。保湿效果不错，北方冬季必备品。保湿效果：良好吸收程度：很快控油效果：良好产品质地：良好适合肤质：干皮其他效果：价格再优惠点呗，
2021-11-05 10:20,高保湿爽肤水250ml,comment-star star5,因为是干性肌肤一直用这款爽肤水，主打成分是杏仁油、牛油果油和角鲨浣，都是保湿效果很好的成分。乳白色的凝露质地，比一般化妆水更加厚重一点，延展效果很好，感觉里面的成分保湿效果都很好，轻轻拍打就能被肌肤所吸收，有一定的亲肤性，而且没有黏腻感，而且润而不油腻，保持高度滋润和保湿的同时赋予肌肤清爽的触感。
2021-11-12 10:09,高保湿霜50ml限量款,comment-star star5,我属于干敏肌，今年还没有到换季我就提前换上了科颜氏高保湿面霜，让皮肤顺利过冬。直到现在皮肤也没有过敏起皮，这款面霜真心好用，肤感超好，它的质地细腻，涂抹面部后透润的就像软滑滑的冰激凌涂抹在了脸上，很舒服。就像给肌肤做了一层缩水保护面膜，让你的肌肤喝饱水，一整天都水澎澎的。
2021-11-03 17:03,高保湿面霜125ml,comment-star star5,保湿效果：效果非常好，特别适合冬季干燥皮肤，属于神一般的存在。吸收程度：吸收性很好。控油效果：效果非常好，很清爽。产品质地：质量保持得很好。适合肤质：干燥皮肤非常适合。其他效果：很全面的产品。
2021-11-10 20:19,高保湿面霜50ml,comment-star star5,科颜氏面霜yyds！用了一段时间，感觉很好，味道不错，不刺鼻，很清爽好吸收，一点不油腻。包装也挺精致的，物流很快。保湿效果：保湿很持久吸收程度：很快就能吸收控油效果：不油腻
