name,price,shop,commit
兰蔻菁纯面霜30ml臻颜精萃乳霜轻盈版 化妆品护肤品 面霜冬季乳液女滋润紧致抗老保湿抗皱淡纹玻色因 礼盒,1380.00,兰蔻京东自营官方旗舰店,20万+
丝塔芙Cetaphil舒润保湿霜250g（乳液 面霜 秋冬 身体乳 “宝宝树”推荐 敏感肌适用）,79.00,丝塔芙京东自营官方旗舰店,100万+
日本珂润（Curel）润浸保湿滋养乳霜 40g（ 面霜 保湿补水 温和不刺激 男女敏感肌适用 神经酰胺 ）,183.00,珂润京东自营官方旗舰店,200万+
日本进口 珂润（Curel）润浸补水保湿面霜40g 滋润保湿补水 温和不刺激 男女敏感肌适用,169.00,珂润（Curel）海外京东自营专区,200万+
玉兰油（OLAY）水润滋养面霜50g乳液女士护肤品补水保湿滋润柔嫩提拉紧致改善暗沉提亮肤色,68.00,OLAY玉兰油京东自营旗舰店,100万+
丝塔芙Cetaphil大白罐保湿霜550g 乳液 面霜 秋冬 身体乳 “宝宝树”推荐 敏感肌适用,148.00,丝塔芙京东自营官方旗舰店,100万+
科颜氏（Kiehl's）高保湿面霜50ml-11.11限量版滋养保湿补水男女通用化妆品护肤品,315.00,科颜氏Kiehl's京东自营官方旗舰店,10万+
玉兰油（OLAY）大红瓶面霜50g（化妆品 护肤品 补水保湿 提拉紧致 淡化细纹焕活胶原力),259.00,OLAY玉兰油京东自营旗舰店,100万+
科颜氏（Kiehl's）高保湿面霜50ml角鲨烷滋养保湿补水乳液缓解干燥紧绷泛红面部呵护男女通用化妆品护肤品,315.00,科颜氏Kiehl's京东自营官方旗舰店,10万+
玉兰油（OLAY）多效修护面霜50g乳液 面霜女士面部护肤补水保湿提亮肤色淡化细纹细致毛孔提拉紧致,129.00,OLAY玉兰油京东自营旗舰店,200万+
玉泽 皮肤屏障修护保湿霜50g 补水保湿 滋润修护 国货面霜 敏感肌可用,125.00,玉泽京东自营旗舰店,20万+
科颜氏（Kiehl's）高保湿面霜125ml角鲨烷滋养保湿补水乳液缓解干燥紧绷泛红面部呵护男女通用化妆品护肤品,580.00,科颜氏Kiehl's京东自营官方旗舰店,10万+
兰蔻菁纯面霜60ml臻颜精萃乳霜轻盈版 化妆品护肤品 面霜冬季乳液女滋润紧致抗老保湿抗皱淡纹玻色因 礼盒,2680.00,兰蔻京东自营官方旗舰店,20万+
日本进口 资生堂(Shiseido) 水之印五合一金色抗皱面霜90g/盒 乳液补水保湿啫喱紧致晚霜金罐,229.00,资生堂海外京东自营旗舰店,20万+
欧莱雅（LOREAL）金致臻颜花蜜奢养滋润面霜50ml欧莱雅小蜜罐女士面部护肤保湿紧致淡纹礼物送女友,329.00,欧莱雅京东自营官方旗舰店,20万+
玉兰油（OLAY）活肤菁华面霜50g乳液女士护肤品水杨酸细致毛孔补水保湿淡化细纹提亮肤色去黑头,68.00,OLAY玉兰油京东自营旗舰店,100万+
日本进口 资生堂(Shiseido) 水之印五合一高保湿面霜90g/盒胶原弹力紧致保湿补水不油腻红罐,219.00,资生堂海外京东自营旗舰店,20万+
雅诗兰黛多效智妍精华乳霜面霜75ml胶原霜乳霜款清爽保湿提拉紧致收缩毛孔护肤品大容量囤货礼盒,950.00,Estee Lauder雅诗兰黛京东自营官方旗舰店,5万+
理肤泉 新B5多效修复乳霜40ml(B5修护霜 淡化印痕痘印 呵护受损肌肤 法国原装进口),99.00,理肤泉京东自营官方旗舰店,50万+
SK-II大红瓶面霜50g（经典版）护肤品套装化妆品礼盒(内含神仙水)sk2sk-ii乳液提拉紧致,890.00,SK-II京东自营官方旗舰店,50万+
SK-II大红瓶面霜100g(经典版)护肤品套装化妆品护肤礼盒 sk2sk-ii紧致补水保湿 囤货装,1440.00,SK-II京东自营官方旗舰店,50万+
欧莱雅（LOREAL）复颜视黄醇精粹抗皱日霜 50ml 女士面霜欧莱雅大红罐视黄醇pro淡纹礼物送女友,199.00,欧莱雅京东自营官方旗舰店,50万+
