年份,总户数,合计总人口,男性人口,女性人口,性别比(女=100),城镇人口,乡村人口
1978,1018,4713,2439,2274,107.27,504,4209
1980,1051,4893,2530,2363,107.10,556,4337
1985,1174,5156,2683,2473,108.46,724,4432
1990,1445,5661,2934,2727,107.57,843,4818
1995,1551,6000,3116,2884,108.08,1044,4956
2000,1656,6278,3258,3020,107.87,1230,5048
2005,1849,6516,3388,3127,108.34,1368,5148
2010,2093,6827,3543,3283,107.92,1550,5276
2012,2139,6902,3580,3322,107.78,1580,5322
2013,2144,6929,3599,3330,108.08,1588,5341
2014,2123,6936,3610,3326,108.57,1574,5362
2015,2132,6949,3615,3334,108.43,1917,5032
2016,2142,7027,3652,3374,108.24,2075,4952
2017,2149,7059,3666,3393,108.04,2193,4866
2018,2158,7083,3676,3407,107.91,2313,4770
2019,2176,7119,3694,3425,107.86,2467,4652
