地区,总户数（万人）,户籍人口（万人）,男户籍人口,女户籍人口,性别比（女=100）,城镇人口,常住人口
总计,2176.29,7119.37,3694.33,3425.04,107.86,2467.15,6365.9
合肥市,255.33,770.44,395.24,375.21,105.34,404.99,818.9
市辖区,100.48,290.82,146.68,144.15,101.75,279.52,400.3
瑶海区,23.24,67.85,34.28,33.57,102.10,64.77,101.6
庐阳区,17.28,51.14,25.59,25.55,100.17,49.85,69.2
蜀山区,36.15,103.35,52.31,51.04,102.49,98.37,131.2
包河区,23.80,68.49,34.50,33.99,101.51,66.53,98.3
巢湖市,31.07,86.04,44.21,41.82,105.72,25.48,80.3
长丰县,26.28,79.61,41.30,38.31,107.79,21.82,67.4
肥东县,34.52,108.12,56.75,51.37,110.48,24.34,90.5
肥西县,25.17,84.69,43.62,41.07,106.23,23.36,79.0
庐江县,37.81,121.16,62.67,58.49,107.15,30.46,101.4
淮北市,73.04,218.72,112.25,106.47,105.43,120.05,227.0
市辖区,36.37,104.88,53.51,51.37,104.15,71.30,120.3
杜集区,10.74,29.72,15.31,14.40,106.33,18.10,34.4
相山区,14.43,42.97,21.50,21.47,100.18,36.38,51.1
烈山区,11.20,32.20,16.69,15.51,107.63,16.82,34.8
濉溪县,36.67,113.84,58.74,55.10,106.62,48.75,106.7
亳州市,179.68,662.99,347.91,315.07,110.42,132.97,526.3
谯城区,54.05,169.94,88.22,81.71,107.96,35.32,153.1
涡阳县,36.43,172.01,90.52,81.49,111.07,37.90,131.9
蒙城县,35.42,146.46,77.02,69.45,110.90,31.43,116.1
利辛县,53.78,174.58,92.16,82.42,111.82,28.32,125.2
宿州市,197.85,658.27,342.28,315.99,108.32,160.01,570.0
埇桥区,61.31,192.80,99.65,93.15,106.98,63.55,174.9
砀山县,33.71,100.42,52.27,48.15,108.56,22.35,84.8
萧县,41.73,139.64,72.93,66.70,109.34,28.99,120.2
灵璧县,33.79,129.33,67.72,61.61,109.92,22.03,104.7
泗县,27.31,96.09,49.71,46.38,107.18,23.09,85.4
蚌埠市,113.40,386.30,200.09,186.22,107.45,143.14,341.2
市辖区,39.50,116.44,58.56,57.87,101.19,72.48,123.3
龙子湖区,6.43,17.31,8.59,8.73,98.40,14.08,22.6
蚌山区,12.38,34.91,17.24,17.67,97.53,28.33,40.9
禹会区,12.28,36.04,18.36,17.69,103.79,19.81,36.0
淮上区,8.41,28.17,14.38,13.79,104.29,10.26,23.8
怀远县,36.78,134.01,70.46,63.55,110.87,33.59,99.9
五河县,19.64,69.65,36.52,33.13,110.24,19.57,60.1
固镇县,17.49,66.21,34.55,31.66,109.11,17.50,58.0
阜阳市,285.36,1077.28,561.09,516.19,108.70,263.88,825.9
市辖区,58.21,231.73,118.99,112.73,105.55,94.43,203.2
颍州区,22.58,90.00,45.51,44.50,102.27,42.04,83.3
颍东区,16.62,67.12,34.97,32.15,108.80,25.01,57.3
颍泉区,19.00,74.60,38.51,36.09,106.71,27.39,62.6
界首市,23.50,83.41,43.36,40.05,108.27,17.04,61.2
临泉县,56.43,230.66,119.45,111.21,107.41,39.37,165.9
太和县,54.31,178.32,93.96,84.37,111.37,51.52,145.3
阜南县,44.97,173.64,90.52,83.12,108.90,21.57,120.8
颍上县,47.94,179.53,94.81,84.72,111.91,39.94,129.5
淮南市,124.39,390.82,204.89,185.92,110.20,178.29,349.0
市辖区,55.40,168.94,86.88,82.06,105.87,109.26,183.9
大通区,6.51,18.64,9.54,9.10,104.91,10.36,18.7
田家庵区,19.83,58.92,29.88,29.05,102.85,49.96,63.1
谢家集区,10.42,30.44,15.60,14.84,105.11,20.11,32.7
八公山区,5.34,15.13,7.74,7.38,104.91,12.84,17.7
潘集区,13.31,45.82,24.12,21.70,111.16,15.99,41.2
