地区,2010,2015,2017,2018,2019
总计,43.20,50.50,53.49,54.69,55.81
合肥市,63.00,70.40,73.75,74.97,76.33
淮北市,54.50,60.76,63.61,65.11,65.88
亳州市,29.10,36.96,39.77,41.01,42.22
宿州市,31.40,38.73,41.56,42.74,43.96
蚌埠市,45.00,52.22,55.31,57.22,58.58
阜阳市,31.90,38.81,41.75,43.29,44.62
淮南市,62.90,60.67,63.46,64.11,65.04
滁州市,41.60,49.02,51.89,53.42,54.54
六安市,35.90,42.81,45.41,46.08,47.09
马鞍山市,58.00,65.15,67.89,68.25,69.12
芜湖市,54.60,61.96,65.05,65.54,66.41
宣城市,43.30,50.64,53.69,55.21,56.33
铜陵市,73.50,52.73,55.79,55.99,57.16
池州市,44.50,51.11,53.67,54.10,54.92
安庆市,36.80,45.87,48.57,49.22,49.98
黄山市,41.10,48.28,50.90,51.46,52.49
