地区（万户）,户数（万户）,人口数,男,性别比（女=100）
总计,2176.29,7119.37,3694.33,107.86
合肥市,255.33,770.44,395.24,105.34
淮北市,73.04,218.72,112.25,105.43
亳州市,179.68,662.99,347.91,110.42
宿州市,197.85,658.27,342.28,108.32
蚌埠市,113.40,386.30,200.09,107.45
阜阳市,285.36,1077.28,561.09,108.70
淮南市,124.39,390.82,204.89,110.20
滁州市,140.69,455.35,236.31,107.88
六安市,189.85,591.07,311.86,111.69
马鞍山市,74.60,229.14,117.85,105.90
芜湖市,130.94,389.84,200.87,106.29
宣城市,98.95,278.77,143.70,106.38
铜陵市,54.13,170.58,87.54,105.41
池州市,51.79,162.29,82.94,104.53
安庆市,155.39,528.58,273.36,107.11
黄山市,50.91,148.92,76.16,104.66
