地区,合计,江苏,浙江,上海,广东,北京,福建,山东,天津,河南,河北,新疆,辽宁,湖北,陕西,流向其他省市
总计,95400,30.02,25.72,21.79,4.35,3.31,2.12,1.66,1.28,0.98,1.08,0.62,0.69,0.87,0.89,4.62
合肥市,3062,33.36,14.78,24.99,2.68,7.38,1.96,1.15,2.15,0.93,1.03,2.33,0.53,0.53,1.12,5.1
淮北市,1703,31.53,25.33,15.74,4.63,4.58,1.28,3.52,1,2.46,0.56,0.56,0.28,0.73,1.12,6.75
亳州市,7452,34.03,28.79,12.46,5.35,1.26,2.09,2.88,1.43,1.11,2.24,0.97,0.87,0.33,0.61,5.61
宿州市,8511,40.16,25.81,10.74,2.39,2.93,2.18,1.54,1.63,1.15,1.07,0.83,0.25,0.56,4.84,3.96
蚌埠市,7390,29.5,31.9,22.53,4.58,2.05,3.05,0.72,0.86,0.41,0.45,0.19,0.17,0.51,0.28,2.83
阜阳市,14878,17.06,38.21,16.88,6.51,3.16,1.84,2.3,2.04,1.9,2.14,1.57,1.17,1.36,0.47,3.41
淮南市,8287,26.05,12.94,47.46,3.51,1.25,2.56,0.52,0.42,0.68,0.31,0.25,0.19,0.49,0.56,2.83
滁州市,6113,52.75,17.69,20.09,2.17,1.27,0.89,0.95,0.28,0.33,0.68,0.11,0.39,0.26,0.16,2
六安市,7411,47.31,18.49,23.25,2.89,1.78,0.59,0.74,0.41,0.76,0.38,0.23,0.1,0.65,0.17,2.25
马鞍山市,4429,45.81,8.75,12.35,3.29,10.08,1.27,2.02,0.62,1.14,2,0.71,0.64,1.68,0.95,8.75
芜湖市,4825,28.35,8.05,30.78,5.6,10.04,1.42,1.82,2.9,0.57,1.18,0.2,0.43,1.24,0.91,6.53
宣城市,5577,19.48,29.23,38.07,2.79,1.57,1.19,1.24,0.48,0.44,0.27,0.07,0.15,0.89,0.44,3.73
铜陵市,2819,41.77,20.92,14.41,4.93,3.74,0.88,0.54,0.57,0.51,0.71,0.13,0.47,1.28,0.67,8.43
池州市,3343,22.02,32.97,22.22,4.01,2.33,2.05,1.76,0.88,0.83,0.63,0.23,1.11,0.68,0.71,7.6
安庆市,6658,13.67,26.01,16.47,7.54,5.23,6.67,3.29,3.1,1.31,1.27,0.41,3.14,1.81,0.47,9.61
黄山市,3783,12.28,56.32,16.68,3.42,1.53,2.16,1.76,0.3,0.25,0.13,0.05,0.2,0.75,0.2,4.02
