年龄,人口总数（人）,男性总数,女性总数,占总人口比重（%）,男性比重,女性比重,性别比（女=100）
总计,636590,319757,316832,100.00,50.23,49.77,100.96
0―4,37002,18590,18412,5.81,2.92,2.89,100.96
5―9,42670,22754,19916,6.70,3.57,3.13,114.25
10―14,40707,22086,18621,6.39,3.47,2.93,118.61
15―19,32634,17651,14982,5.13,2.77,2.35,117.82
20―24,29589,15765,13824,4.65,2.48,2.17,114.04
25―29,40166,21369,18797,6.31,3.36,2.95,113.69
30―34,40878,19943,20934,6.42,3.13,3.29,95.27
35―39,35918,16932,18986,5.64,2.66,2.98,89.18
40―44,43077,20781,22294,6.77,3.26,3.50,93.21
45―49,61939,30675,31264,9.73,4.82,4.91,98.11
50―54,67674,33334,34338,10.63,5.24,5.39,97.08
55―59,47141,22994,24147,7.41,3.61,3.79,95.22
60―64,28519,14493,14026,4.48,2.28,2.20,103.33
65+,88677,43210,45470,13.93,6.79,7.14,95.03
