评论内容,购买商品,星级
这个平台太方便了吧，看到搞活动就买了，然后今天有空才想起来用，价格还这么划算，非常nice呀📍第一次来，幸好有工作人员的耐心讲解，收获非常美好的回忆这家店其实最让我惊喜的是服务，虽然是遇到点小问题，但是工作人员一直道歉并帮忙解决，真的是客户至上啊对于两个人来说，套餐量太多了，分量真的有够夸张，甚至够三四个人吃了，可以来吃个够了,葡萄芋圆冻冻1杯,50
逛街逛累了，非常适合来这放松休闲一下，提前买好券就更划算了被朋友种草的店，今天迫不及待的来了，果然值得推荐虽然位置有点难找，但胜在人少，没有嘈杂的环境，整个氛围非常nice，不错子😁服务员手法非常专业，态度很热情，对店里的东西也非常了解，不错,葡萄芋圆冻冻1杯,50
他家真的是一杯都是料哦，我真的是非常喜欢他家的所以产品,【惠】椰椰烧仙草（大杯）1杯,50
奶茶味道还可以 我个人比较喜欢喝 但是 珍珠 我比较喜欢黑色的可是没找到 ，奶茶糖分不是很多 很适合我们这种想喝甜的 但又不想太甜的人 环境还可以 还有二楼 我和同学可以住在楼上的聊聊天 很适合学生党 很适合下午没有事情的上班族，来休息,焦糖珍珠奶茶1杯,30
提前约好的，没有排多久的队，很快就吃上啦，不错提前约好的，没有排多久的队，很快就吃上啦，不错看到评价还不错就来了，确实跟大家夸的没有出入，希望店家继续保持噢看到评价还不错就来了，确实跟大家夸的没有出入，希望店家继续保持噢,【惠】椰椰烧仙草（大杯）1杯,45
服务不到位，服务员讲话死难听，特别是那个眼睛有点问题的店员，希望店家能有所改善。,【小春哥同款】书亦烧仙草(大杯)1杯,5
朋友们，不是夏天，建议大家去冰…昨晚，我在寒风中喝着冰椰汁，真的想家,芒椰小丸子1份,50
好喝，性价比高，环境好，干净，实惠,黄金珍珠奶茶1杯,50
好喝，量多，料多。喜欢，味道不错,双杯芒椰小丸子1份,50
"还以为好喝的烧仙草,结果里面有个白色的塑料,尼玛，离了个大谱",酸奶烧仙草（中杯）1杯,5
无语住了，就这水平还说，跑来一趟容易吗,牛魔王黑砖奶茶1杯,5
此次用餐总体来说不错，觉得比较认可的地方有：性价比、口味、环境、服务、团购接待。,黄金珍珠奶茶1杯,50
老公最爱的椰椰烧仙草，每次来大学城必点,【惠】椰椰烧仙草（大杯）1杯,50
芒果很酸，西柚很苦！怎么喝？？？,杨枝甘露酸奶1杯,5
「#套餐：金桔柠檬」还不错，挺好的,金桔柠檬1杯,50
