评论内容,购买商品,星级
"店里的装修风格感觉很简约时尚，又带点小特色，很适合📷拍照噢
味道刚刚好，完全不腻，营养又健康，忍不住安利给朋友们😆😆
提前团购的券，非常划算，周边吃喝玩乐的地方也很多，非常便捷网上下单的时候还有点担心，结果到店一看跟图片描述的基本没有差，没有任何问题！提前团购的券，非常划算，周边吃喝玩乐的地方也很多，非常便捷",芝士多肉桃桃1大,50
一直都给五星好评，因为店家确实值得，朋友们来过就知道性价比有多高了😉😉虽然价格不便宜，但是绝对物超所值，现在能找到这么好的地真的不容易了借着假期过来打卡📍，果然没有让我失望，首先很喜欢这里的环境，其次服务也很到位，总之就是很满意啦环境整体不错，设施齐全，也很符合防疫标准，不错,杨枝甘露轻盈版1大,50
凉凉的，包装就很有feel，喝起来很不错，里面好像有一种酒的味道，是米槽么，反正很好喝哦，推荐啦，每一杯饮品都是颜控的福利呀，强烈点赞👍，支持古茗哦。,泡鲁达1中,50
此次用餐总体来说不错，觉得比较认可的地方有：口味、环境、服务、性价比、团购接待。,桃气乌龙奶芙1中,50
"「#套餐：布蕾脆脆奶芙」
【口味】甜，布蕾软软的 珍珠很软
【环境】工作人员很耐心哦，还很热情！每天祝我天天开心1000000000000000000000000
【服务】服务超级好呀！做的好！
【性价比】五百星，好吃
【口味】",布蕾脆脆奶芙1中,50
这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比、服务。太划算了！用了优惠券绝了，食物份量还很足，下次一定还会再买的！太划算了！用了优惠券绝了，食物份量还很足，下次一定还会再买的！太划算了！用了优惠券绝了，食物份量还很足，下次一定还会再买的！太划算了！用了优惠券绝了，食物份量还很足，下次一定还会再买的！最近连吃两次了，口味确实赞，而且价格非常公道，肯定还会再找机会来第三次的,超A芝士葡萄1大,50
每次吃芝士葡萄都觉得像是在吃水果一样，里面葡萄很多味道很好，都是整颗整颗的，而且沙冰很好吃，不像一些店里那种冰块。已经N次回购N次推荐了,超A芝士葡萄1大,45
条他的心太细太佛博看看皮肤日系恭喜体系一次头发天赋怕狗吃一次一次一次次突出贡献中青年专家吃好吃吃肉下雪天吃一次一次过情人节一场头粗跟哈哈v后次一次一次过v古刹吐槽他次一次过次过哦哈过这一份这样的想法也许过几个可还行吃过次过次过粗犷次,杨枝甘露椰奶1中,50
古茗芝士葡萄一直都是我的最爱，葡萄果肉+茉莉绿茶+啵啵+芝士奶盖，NFC果汁，葡萄含量充足，清甜爽口。入口真的满满的茉莉花茶和葡萄清香，葡萄用的都是当季新鲜夏黑葡萄，每一口都能吃到饱满大颗的果粒肉，很清甜，也很多汁，跟更昂贵的喜茶比起来，性价比真的高,超A芝士葡萄1大,50
试过别家的，我发现还是古茗的这版更好喝，就喜欢奶味夹着果味。,超A芝士葡萄1大,50
