店铺名,店铺所在位置,人均消费,评分,美食名称,店铺图片链接,纬度,经度,最低价格,店铺ID,店铺详情页
沪上阿姨鲜果茶（磨店美食街店）,磨店,15.0,4.6,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.9387,117.3814,0.66,1455321908,https://www.meituan.com/meishi/1455321908/
茶百道（万象城店）,奥体中心,15.0,3.8,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1844271393_1636098027729.jpeg,31.7998,117.2319,6.66,910500387,https://www.meituan.com/meishi/910500387/
茶百道（万达店）,巢湖火车站,15.0,4.7,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.6111,117.884,6.66,656308682,https://www.meituan.com/meishi/656308682/
沪上阿姨鲜果茶（世纪金源店）,滨湖世纪城,15.0,4.2,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.7428,117.2899,0.66,189367273,https://www.meituan.com/meishi/189367273/
沪上阿姨鲜果茶（祥源城店）,高新区,15.0,3.8,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.8327,117.1306,0.66,1794208545,https://www.meituan.com/meishi/1794208545/
CoCo都可（港汇广场店）,南七里站,12.0,4.6,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8328,117.2333,5.0,189380991,https://www.meituan.com/meishi/189380991/
CoCo都可（星达城店）,星达城购物中心,13.0,4.5,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.7756,117.2121,5.0,156616411,https://www.meituan.com/meishi/156616411/
CoCo都可（绿地海顿店）,望江东路,13.0,4.6,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,31.8299,117.3028,5.0,42484416,https://www.meituan.com/meishi/42484416/
茶百道（银河广场店）,悦方IDMALL,16.0,4.4,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.742,117.3039,6.66,1766449641,https://www.meituan.com/meishi/1766449641/
茶百道（滨湖银泰店）,滨湖银泰城,15.0,4.3,奶茶/果汁,http://p0.meituan.net/w.h/biztone/b8df853928aacac04c8add55075cb030325791.jpg,31.7143,117.3011,6.66,1112747560,https://www.meituan.com/meishi/1112747560/
